ID Transaksi;Tanggal;No Rekening;Nama Nasabah;Jenis Biller;Nama Biller;Nomor Pelanggan;Nominal;Biaya Admin;Total Bayar;Channel;Status
TRX001791;2026-01-12;1000000331;Fajar Hidayat;TV Kabel;Transvision;9766784875;261199;2000;263199;Internet Banking;Sukses
TRX001854;2026-01-18;1000004492;Citra Dewi;Air;PDAM;7456860070;217615;2000;219615;Internet Banking;Sukses
TRX001902;2026-03-13;1000000590;Fajar Hidayat;TV Kabel;First Media;8620313213;233540;2000;235540;ATM;Sukses
TRX001934;2026-01-06;1000001875;Dedi Pratama;BPJS;BPJS Kesehatan;1083498932;256617;2500;259117;EDC;Sukses
TRX001966;2026-01-03;1000002836;Dedi Pratama;TV Kabel;First Media;6643979233;266741;2000;268741;ATM;Sukses
TRX001977;2026-02-10;1000003099;Joko Susilo;Air;PDAM;3429371380;71746;2000;73746;Internet Banking;Sukses
TRX002000;2026-01-02;1000002969;Citra Dewi;Internet;Biznet;5126747963;486145;2500;488645;ATM;Sukses
TRX002003;2026-01-13;1000001851;Eka Lestari;BPJS;BPJS Kesehatan;8947032434;264747;2000;266747;Teller;Sukses
TRX002041;2026-02-09;1000001280;Fajar Hidayat;TV Kabel;Transvision;2015199254;386436;3000;389436;EDC;Sukses
TRX002114;2026-03-20;1000004800;Intan Sari;TV Kabel;First Media;5703742304;405144;3000;408144;Mobile Banking;Sukses
TRX002153;2026-01-19;1000000897;Andi Saputra;Internet;IndiHome;8506657798;163314;2000;165314;Internet Banking;Sukses
TRX002265;2026-03-08;1000002912;Budi Santoso;Listrik;PLN;7513358753;395917;2000;397917;Internet Banking;Sukses
TRX002332;2026-01-27;1000002407;Andi Saputra;Internet;Biznet;1247750236;253589;2500;256089;Internet Banking;Sukses
TRX002347;2026-02-03;1000002418;Gina Marlina;TV Kabel;First Media;7401165767;252540;2500;255040;Mobile Banking;Sukses
TRX002376;2026-02-13;1000002743;Budi Santoso;TV Kabel;Transvision;5485949275;414346;2000;416346;Mobile Banking;Sukses
TRX002380;2026-01-24;1000004005;Hadi Wijaya;BPJS;BPJS Kesehatan;7386652863;445973;2000;447973;Teller;Sukses
TRX002430;2026-03-01;1000000053;Fajar Hidayat;BPJS;BPJS Kesehatan;8972434246;194014;3000;197014;ATM;Sukses
TRX002450;2026-03-07;1000001239;Eka Lestari;Listrik;PLN;1748010055;253205;2000;255205;ATM;Sukses
TRX002505;2026-01-26;1000003050;Eka Lestari;Listrik;PLN;6490508320;201517;3000;204517;ATM;Sukses
TRX002539;2026-03-06;1000003116;Fajar Hidayat;BPJS;BPJS Kesehatan;2962227507;484071;2500;486571;ATM;Sukses
TRX002541;2026-03-12;1000003682;Intan Sari;Air;PDAM;5490043285;85783;3000;88783;Teller;Sukses
TRX002589;2026-02-04;1000004505;Eka Lestari;Internet;Biznet;3238863530;465535;2000;467535;Mobile Banking;Sukses
TRX002628;2026-02-06;1000003630;Hadi Wijaya;TV Kabel;Transvision;5549669572;261699;2500;264199;EDC;Sukses
TRX002634;2026-01-23;1000002418;Gina Marlina;Listrik;PLN;2305590002;62884;2500;65384;Teller;Sukses
TRX002676;2026-03-06;1000001850;Dedi Pratama;Listrik;PLN;8837149555;182970;3000;185970;ATM;Sukses
TRX002714;2026-03-23;1000003571;Gina Marlina;Internet;Biznet;8244095033;404992;2000;406992;EDC;Sukses
TRX002719;2026-04-01;1000003365;Dedi Pratama;Listrik;PLN;7869096607;435420;3000;438420;ATM;Sukses
TRX002725;2026-01-25;1000000902;Budi Santoso;Internet;IndiHome;3356013665;124405;3000;127405;ATM;Sukses
TRX002742;2026-01-14;1000004330;Hadi Wijaya;Internet;IndiHome;3242775174;270650;3000;273650;Teller;Sukses
TRX002768;2026-01-05;1000001649;Hadi Wijaya;Internet;Biznet;6768451998;131274;2500;133774;Internet Banking;Sukses
TRX002816;2026-02-06;1000001625;Andi Saputra;Internet;IndiHome;9468066948;477890;2500;480390;ATM;Sukses
TRX002847;2026-02-12;1000003012;Intan Sari;Air;PDAM;1710116693;115431;2000;117431;ATM;Sukses
TRX002864;2026-02-17;1000001469;Hadi Wijaya;TV Kabel;Transvision;1636028766;121968;3000;124968;Internet Banking;Sukses
TRX002866;2026-03-26;1000004586;Gina Marlina;TV Kabel;Transvision;6428639327;140990;2500;143490;EDC;Sukses
TRX002957;2026-03-01;1000002724;Eka Lestari;Air;PDAM;1654081695;262908;2500;265408;EDC;Sukses
TRX003002;2026-01-20;1000004661;Andi Saputra;Listrik;PLN;7877824661;156408;3000;159408;ATM;Sukses
TRX003017;2026-02-27;1000001281;Eka Lestari;TV Kabel;First Media;1400095965;378204;3000;381204;ATM;Sukses
TRX003058;2026-03-31;1000001689;Budi Santoso;Listrik;PLN;2682174014;205277;2500;207777;Mobile Banking;Sukses
TRX003064;2026-03-04;1000004811;Joko Susilo;Listrik;PLN;8409674090;201881;2500;204381;Internet Banking;Sukses
TRX003073;2026-02-16;1000004758;Joko Susilo;Air;PDAM;3957831420;408318;2000;410318;EDC;Sukses
TRX003162;2026-01-31;1000003543;Joko Susilo;TV Kabel;Transvision;4883554228;147149;2000;149149;Mobile Banking;Sukses
TRX003212;2026-01-13;1000004081;Eka Lestari;Listrik;PLN;3399674789;262902;3000;265902;Internet Banking;Sukses
TRX003228;2026-03-16;1000001642;Budi Santoso;Internet;IndiHome;2231884597;210956;2000;212956;Mobile Banking;Sukses
TRX003236;2026-01-07;1000004838;Budi Santoso;Internet;Biznet;8919422553;327247;2000;329247;ATM;Sukses
TRX003243;2026-02-04;1000000700;Joko Susilo;Internet;IndiHome;5841292610;490494;2000;492494;EDC;Sukses
TRX003289;2026-01-14;1000002563;Fajar Hidayat;Internet;IndiHome;3185964053;359097;2000;361097;Internet Banking;Sukses
TRX003300;2026-03-31;1000004395;Joko Susilo;Internet;Biznet;5002426734;410143;3000;413143;Mobile Banking;Sukses
TRX003366;2026-03-26;1000004610;Citra Dewi;TV Kabel;Transvision;9880690782;104670;3000;107670;Mobile Banking;Sukses
TRX003383;2026-01-18;1000003707;Eka Lestari;Air;PDAM;5292232704;268513;2000;270513;ATM;Sukses
TRX003427;2026-02-13;1000001870;Dedi Pratama;Air;PDAM;7166717361;340276;2000;342276;Mobile Banking;Sukses
TRX003449;2026-02-11;1000004227;Hadi Wijaya;BPJS;BPJS Kesehatan;7873492818;168133;2500;170633;Mobile Banking;Sukses
TRX003452;2026-01-17;1000003752;Eka Lestari;Listrik;PLN;8817330329;464987;2000;466987;Mobile Banking;Sukses
TRX003464;2026-03-28;1000001477;Budi Santoso;TV Kabel;First Media;2950947395;229734;3000;232734;ATM;Sukses
TRX003508;2026-01-26;1000001039;Hadi Wijaya;Air;PDAM;7670638469;338313;3000;341313;EDC;Sukses
TRX003631;2026-03-07;1000002461;Intan Sari;BPJS;BPJS Kesehatan;8302539359;164957;2000;166957;Internet Banking;Sukses
TRX003659;2026-02-20;1000000271;Gina Marlina;TV Kabel;Transvision;4525655396;222400;3000;225400;ATM;Sukses
TRX003677;2026-03-04;1000003441;Intan Sari;TV Kabel;First Media;4908774290;366578;2500;369078;Internet Banking;Sukses
TRX003696;2026-02-24;1000003576;Andi Saputra;BPJS;BPJS Kesehatan;8589014688;195677;3000;198677;ATM;Sukses
TRX003746;2026-02-12;1000001355;Gina Marlina;TV Kabel;Transvision;2823450880;383563;2000;385563;Teller;Sukses
TRX003798;2026-02-04;1000003639;Andi Saputra;BPJS;BPJS Kesehatan;8607011699;436383;3000;439383;Internet Banking;Sukses
TRX003886;2026-03-10;1000003271;Hadi Wijaya;TV Kabel;First Media;9648029636;415720;2500;418220;EDC;Sukses
TRX003888;2026-03-10;1000004059;Citra Dewi;Listrik;PLN;2304395481;286817;3000;289817;Internet Banking;Sukses
TRX003897;2026-01-08;1000000258;Citra Dewi;Internet;Biznet;1023868399;473946;3000;476946;EDC;Sukses
TRX003902;2026-03-05;1000003095;Fajar Hidayat;Air;PDAM;3693854905;79226;3000;82226;ATM;Sukses
TRX003914;2026-03-08;1000002997;Citra Dewi;TV Kabel;Transvision;5779065650;418432;3000;421432;ATM;Sukses
TRX003955;2026-02-15;1000001777;Fajar Hidayat;Listrik;PLN;9192084652;221670;2000;223670;Teller;Sukses
TRX003983;2026-01-17;1000004662;Budi Santoso;BPJS;BPJS Kesehatan;2179608791;337615;2500;340115;EDC;Sukses
TRX003998;2026-01-01;1000000527;Joko Susilo;Internet;Biznet;7848088467;227320;2500;229820;Internet Banking;Sukses
TRX004033;2026-02-10;1000003109;Eka Lestari;Internet;IndiHome;4352425256;202047;2000;204047;ATM;Sukses
TRX004051;2026-01-08;1000001141;Andi Saputra;TV Kabel;First Media;2625448084;101510;2000;103510;Mobile Banking;Sukses
TRX004083;2026-01-03;1000004879;Gina Marlina;TV Kabel;First Media;5799894564;195801;3000;198801;Internet Banking;Sukses
TRX004190;2026-02-25;1000000255;Budi Santoso;Internet;IndiHome;8425433457;102254;2000;104254;Teller;Sukses
TRX004191;2026-03-18;1000001344;Citra Dewi;Internet;Biznet;4298392881;439522;2000;441522;EDC;Sukses
TRX004233;2026-01-06;1000003007;Gina Marlina;Internet;IndiHome;6820901926;113688;2500;116188;Internet Banking;Sukses
TRX004271;2026-03-15;1000001904;Dedi Pratama;BPJS;BPJS Kesehatan;2166843071;348216;2000;350216;Internet Banking;Sukses
TRX004404;2026-03-20;1000004758;Joko Susilo;Air;PDAM;2019383974;320323;2000;322323;EDC;Sukses
TRX004561;2026-02-18;1000002219;Dedi Pratama;Air;PDAM;5095081670;134690;2500;137190;Teller;Sukses
TRX004569;2026-02-10;1000000757;Dedi Pratama;Air;PDAM;6577886943;342456;2500;344956;EDC;Sukses
TRX004605;2026-03-28;1000001777;Fajar Hidayat;Listrik;PLN;8818756354;244464;2500;246964;Internet Banking;Sukses
TRX004607;2026-03-28;1000002388;Gina Marlina;TV Kabel;First Media;9794904495;161313;2000;163313;Teller;Sukses
TRX004614;2026-01-05;1000003149;Andi Saputra;BPJS;BPJS Kesehatan;6179467320;169385;2000;171385;Teller;Sukses
TRX004623;2026-03-01;1000000509;Gina Marlina;Internet;IndiHome;4094468991;421113;2000;423113;Mobile Banking;Sukses
TRX004735;2026-02-13;1000001657;Fajar Hidayat;Air;PDAM;8797552257;368674;2000;370674;Teller;Sukses
TRX004753;2026-03-23;1000002296;Eka Lestari;TV Kabel;First Media;4035900542;133441;2500;135941;Internet Banking;Sukses
TRX004856;2026-02-03;1000002699;Citra Dewi;Listrik;PLN;6886384377;203065;3000;206065;Mobile Banking;Sukses
TRX004860;2026-01-03;1000001764;Fajar Hidayat;Internet;Biznet;1346397956;493335;3000;496335;Mobile Banking;Sukses
TRX004905;2026-02-09;1000003760;Citra Dewi;Listrik;PLN;4995619666;260238;2500;262738;EDC;Sukses
TRX004912;2026-02-26;1000002690;Fajar Hidayat;TV Kabel;Transvision;2572543532;456947;2000;458947;Internet Banking;Sukses
TRX004980;2026-01-30;1000004431;Dedi Pratama;Internet;Biznet;7999804349;406503;2000;408503;Mobile Banking;Sukses
TRX005023;2026-02-18;1000001423;Eka Lestari;Internet;Biznet;8304495534;157006;2500;159506;EDC;Sukses
TRX005029;2026-03-23;1000004411;Fajar Hidayat;TV Kabel;First Media;9900164291;435407;2500;437907;Internet Banking;Sukses
TRX005048;2026-03-22;1000000830;Dedi Pratama;BPJS;BPJS Kesehatan;5832112336;468974;3000;471974;Internet Banking;Sukses
TRX005116;2026-03-05;1000002324;Fajar Hidayat;Listrik;PLN;6133561572;55197;3000;58197;Mobile Banking;Sukses
TRX005132;2026-04-01;1000001321;Dedi Pratama;Air;PDAM;1936726250;452019;2000;454019;ATM;Sukses
TRX005255;2026-03-20;1000003025;Budi Santoso;Internet;Biznet;2575827592;192223;2500;194723;Teller;Sukses
TRX005395;2026-03-28;1000001387;Gina Marlina;Listrik;PLN;4657225031;320316;2500;322816;Mobile Banking;Sukses
TRX005527;2026-02-07;1000000134;Fajar Hidayat;BPJS;BPJS Kesehatan;7406557988;94930;2500;97430;Teller;Sukses
TRX005589;2026-02-22;1000000083;Gina Marlina;Air;PDAM;6506870439;221416;3000;224416;ATM;Sukses
TRX005628;2026-03-23;1000000722;Gina Marlina;Internet;IndiHome;3683097155;302726;2000;304726;EDC;Sukses
TRX005638;2026-02-06;1000003115;Fajar Hidayat;Air;PDAM;5234963533;257224;3000;260224;Mobile Banking;Sukses
TRX005738;2026-03-08;1000003028;Eka Lestari;BPJS;BPJS Kesehatan;6614273928;320298;3000;323298;Teller;Sukses
TRX005759;2026-03-18;1000004840;Hadi Wijaya;Internet;Biznet;4209983516;266594;2000;268594;EDC;Sukses
TRX005819;2026-01-27;1000002845;Eka Lestari;Internet;Biznet;8914310958;333193;3000;336193;Mobile Banking;Sukses
TRX005858;2026-01-15;1000000509;Gina Marlina;TV Kabel;Transvision;5748612827;426242;2500;428742;Internet Banking;Sukses
TRX005867;2026-03-05;1000003504;Eka Lestari;Listrik;PLN;2409693059;217297;2000;219297;ATM;Sukses
TRX005872;2026-01-30;1000000785;Gina Marlina;TV Kabel;First Media;5778507176;443817;2500;446317;ATM;Sukses
TRX005961;2026-01-06;1000000068;Eka Lestari;BPJS;BPJS Kesehatan;2622847915;70989;2000;72989;Mobile Banking;Sukses
TRX005981;2026-01-13;1000002262;Budi Santoso;TV Kabel;Transvision;5588666717;347595;2000;349595;ATM;Sukses
TRX005990;2026-03-19;1000001618;Hadi Wijaya;Internet;IndiHome;9719271667;167809;2500;170309;Teller;Sukses
TRX005992;2026-01-29;1000003178;Andi Saputra;Internet;IndiHome;4145306015;324206;2500;326706;Internet Banking;Sukses
TRX006030;2026-03-25;1000002470;Eka Lestari;TV Kabel;First Media;7763621944;128096;2000;130096;Internet Banking;Sukses
TRX006055;2026-03-13;1000003906;Gina Marlina;TV Kabel;Transvision;6189301175;444473;3000;447473;Internet Banking;Sukses
TRX006059;2026-01-15;1000004393;Budi Santoso;Listrik;PLN;8140608316;77463;2500;79963;Teller;Sukses
TRX006102;2026-01-15;1000000606;Eka Lestari;TV Kabel;Transvision;9506610963;321811;2000;323811;ATM;Sukses
TRX006214;2026-01-29;1000003964;Citra Dewi;Listrik;PLN;8604594138;431977;2500;434477;EDC;Sukses
TRX006313;2026-01-14;1000002022;Citra Dewi;TV Kabel;First Media;2091256390;347682;2000;349682;Mobile Banking;Sukses
TRX006333;2026-03-13;1000001489;Fajar Hidayat;Internet;Biznet;7849730399;144163;3000;147163;EDC;Sukses
TRX006371;2026-01-15;1000001620;Gina Marlina;Listrik;PLN;8676582087;378275;3000;381275;Mobile Banking;Sukses
TRX006394;2026-02-10;1000004377;Citra Dewi;Internet;IndiHome;9864300249;129936;2500;132436;ATM;Sukses
TRX006470;2026-01-26;1000004679;Gina Marlina;Internet;Biznet;2258008688;253216;2500;255716;Mobile Banking;Sukses
TRX006529;2026-02-26;1000001800;Citra Dewi;Internet;Biznet;5269221249;355138;2500;357638;Internet Banking;Sukses
TRX006538;2026-03-31;1000003923;Hadi Wijaya;Internet;Biznet;8247787999;395278;2500;397778;Internet Banking;Sukses
TRX006541;2026-02-25;1000000354;Joko Susilo;Internet;IndiHome;1900349168;339549;3000;342549;Teller;Sukses
TRX006604;2026-01-26;1000001324;Hadi Wijaya;Air;PDAM;4639263871;480051;3000;483051;Internet Banking;Sukses
TRX006663;2026-03-25;1000001498;Fajar Hidayat;Internet;Biznet;1563333675;379608;2500;382108;EDC;Sukses
TRX006683;2026-02-26;1000003904;Eka Lestari;Air;PDAM;2429540562;76541;2500;79041;EDC;Sukses
TRX006685;2026-02-22;1000002060;Fajar Hidayat;Internet;IndiHome;6886182545;357530;2000;359530;EDC;Sukses
TRX006706;2026-03-21;1000001917;Eka Lestari;Listrik;PLN;1384449089;57490;2000;59490;EDC;Sukses
TRX006981;2026-02-12;1000003178;Andi Saputra;TV Kabel;First Media;1482585434;432342;2500;434842;ATM;Sukses
TRX006997;2026-02-17;1000004242;Eka Lestari;Internet;Biznet;9454566653;406647;3000;409647;Teller;Sukses
TRX007055;2026-01-07;1000004262;Fajar Hidayat;BPJS;BPJS Kesehatan;2107906206;465260;3000;468260;EDC;Sukses
TRX007181;2026-03-20;1000003047;Gina Marlina;Internet;IndiHome;1261851963;385118;2000;387118;Mobile Banking;Sukses
TRX007261;2026-03-03;1000003488;Citra Dewi;Air;PDAM;1829894221;71186;2000;73186;Mobile Banking;Sukses
TRX007298;2026-02-08;1000004142;Gina Marlina;BPJS;BPJS Kesehatan;1629594219;453891;2000;455891;Internet Banking;Sukses
TRX007324;2026-01-04;1000002755;Joko Susilo;Internet;Biznet;7733208019;290207;2000;292207;ATM;Sukses
TRX007330;2026-03-03;1000001176;Eka Lestari;TV Kabel;Transvision;5315798563;63819;2000;65819;ATM;Sukses
TRX007349;2026-02-10;1000000698;Budi Santoso;Internet;IndiHome;5428548018;319941;3000;322941;Internet Banking;Sukses
TRX007487;2026-03-20;1000001806;Joko Susilo;Internet;Biznet;8874704327;196286;3000;199286;Mobile Banking;Sukses
TRX007525;2026-01-28;1000001676;Budi Santoso;Internet;Biznet;7546809050;324503;3000;327503;Internet Banking;Sukses
TRX007601;2026-01-03;1000004918;Fajar Hidayat;Air;PDAM;6814950816;270272;2000;272272;Teller;Sukses
TRX007649;2026-02-12;1000003695;Hadi Wijaya;Internet;IndiHome;1683538166;241581;2500;244081;ATM;Sukses
TRX007699;2026-02-15;1000004843;Andi Saputra;Air;PDAM;2987322973;493687;2000;495687;Mobile Banking;Sukses
TRX007715;2026-01-29;1000000159;Joko Susilo;Listrik;PLN;2305735286;242228;3000;245228;ATM;Sukses
TRX007719;2026-01-14;1000002109;Intan Sari;Internet;IndiHome;5512121798;421355;2000;423355;Internet Banking;Sukses
TRX007723;2026-01-30;1000004605;Eka Lestari;Air;PDAM;4032013634;416791;2500;419291;Internet Banking;Sukses
TRX007782;2026-03-27;1000003377;Eka Lestari;Internet;Biznet;3317145502;100168;3000;103168;Teller;Sukses
TRX007802;2026-02-27;1000002083;Citra Dewi;BPJS;BPJS Kesehatan;8946548638;305000;2000;307000;ATM;Sukses
TRX007816;2026-01-04;1000000507;Gina Marlina;Air;PDAM;8584610587;495093;2500;497593;ATM;Sukses
TRX007817;2026-01-06;1000002709;Joko Susilo;Listrik;PLN;9479011589;293714;2000;295714;Teller;Sukses
TRX007885;2026-03-25;1000003171;Intan Sari;TV Kabel;Transvision;9342483919;102699;2500;105199;ATM;Sukses
TRX007911;2026-01-25;1000000092;Joko Susilo;TV Kabel;First Media;4582694890;160183;2500;162683;EDC;Sukses
TRX008011;2026-01-24;1000000753;Hadi Wijaya;TV Kabel;First Media;3164383613;409813;2000;411813;ATM;Sukses
TRX008020;2026-03-25;1000004609;Eka Lestari;TV Kabel;First Media;9265754723;203036;3000;206036;Internet Banking;Sukses
TRX008053;2026-03-20;1000001851;Eka Lestari;Air;PDAM;9919153312;425572;3000;428572;Mobile Banking;Sukses
TRX008106;2026-03-21;1000000621;Intan Sari;Internet;IndiHome;2574791432;123157;3000;126157;EDC;Sukses
TRX008114;2026-03-31;1000003306;Fajar Hidayat;TV Kabel;First Media;3844868542;169072;2000;171072;Internet Banking;Sukses
TRX008170;2026-02-19;1000002954;Dedi Pratama;Internet;Biznet;5049028878;185356;2500;187856;Mobile Banking;Sukses
TRX008198;2026-03-24;1000002305;Intan Sari;Internet;IndiHome;6247167496;108684;2000;110684;Mobile Banking;Sukses
TRX008209;2026-02-23;1000001694;Fajar Hidayat;Internet;Biznet;6705243812;197356;2500;199856;Mobile Banking;Sukses
TRX008263;2026-03-03;1000001867;Citra Dewi;Internet;Biznet;8518859315;441259;2000;443259;Internet Banking;Sukses
TRX008278;2026-02-15;1000002089;Eka Lestari;Air;PDAM;9746677098;209799;3000;212799;Teller;Sukses
TRX008296;2026-02-04;1000002447;Citra Dewi;Internet;Biznet;8899422193;224038;3000;227038;Mobile Banking;Sukses
TRX008354;2026-01-14;1000002484;Dedi Pratama;BPJS;BPJS Kesehatan;8070056067;494602;3000;497602;ATM;Sukses
TRX008416;2026-03-17;1000002893;Budi Santoso;Internet;Biznet;5980503581;225731;2500;228231;Teller;Sukses
TRX008443;2026-01-28;1000000358;Gina Marlina;TV Kabel;Transvision;7624674308;208901;3000;211901;ATM;Sukses
TRX008605;2026-01-04;1000001309;Budi Santoso;TV Kabel;First Media;1233994777;384913;2500;387413;EDC;Sukses
TRX008628;2026-03-31;1000003969;Budi Santoso;TV Kabel;Transvision;1470256614;383595;2000;385595;Teller;Sukses
TRX008656;2026-03-26;1000001338;Joko Susilo;Internet;Biznet;1100598059;410045;3000;413045;Mobile Banking;Sukses
TRX008751;2026-03-05;1000000002;Andi Saputra;TV Kabel;Transvision;4324122317;154352;2000;156352;Internet Banking;Sukses
TRX008791;2026-03-13;1000002676;Budi Santoso;Air;PDAM;8032977841;449811;2000;451811;EDC;Sukses
TRX008857;2026-03-23;1000004006;Dedi Pratama;Internet;Biznet;8858033053;387719;2500;390219;Mobile Banking;Sukses
TRX008949;2026-03-16;1000000047;Gina Marlina;TV Kabel;Transvision;1099591211;482493;3000;485493;Mobile Banking;Sukses
TRX008969;2026-03-08;1000002407;Andi Saputra;BPJS;BPJS Kesehatan;6763414664;388288;2500;390788;Internet Banking;Sukses
TRX009015;2026-01-27;1000001235;Andi Saputra;TV Kabel;Transvision;9203712920;478991;2000;480991;Internet Banking;Sukses
TRX009026;2026-02-27;1000003774;Intan Sari;Listrik;PLN;9480994754;199493;3000;202493;EDC;Sukses
TRX009109;2026-02-14;1000004136;Hadi Wijaya;Internet;IndiHome;1290342863;257603;2000;259603;Mobile Banking;Sukses
TRX009124;2026-02-11;1000000679;Budi Santoso;BPJS;BPJS Kesehatan;4856380669;142917;3000;145917;ATM;Sukses
TRX009156;2026-02-17;1000003581;Hadi Wijaya;Listrik;PLN;4260802447;248870;2000;250870;ATM;Sukses
TRX009162;2026-02-17;1000000103;Citra Dewi;TV Kabel;First Media;2994822100;224831;3000;227831;Mobile Banking;Sukses
TRX009195;2026-01-02;1000000567;Intan Sari;Internet;IndiHome;9752449733;255644;3000;258644;ATM;Sukses
